index,order_id,date,status,fulfilment,sales_channel,ship_level,style,sku,category,size,asin,courier_status,qty,currency,amount,ship_city,ship_state,ship_postal,ship_country,promotion_ids,b2b,fulfilled_by
0,858-2458591-8078673,06-11-22,Shipped,Amazon,Amazon.in,Expedited,ST854,ST854-KR-3XL,Kurta,M,B1413999315,Shipped,2,INR,1087.78,Meerut,Uttar Pradesh,198246,IN,,False,Easy Ship
1,814-8090293-6708456,08-21-22,Returned,Amazon,Amazon.in,Standard,ST928,ST928-KR-S,Blouse,S,B4530868105,Returned,1,INR,423.6,Varanasi,Uttar Pradesh,325772,IN,,False,Easy Ship
2,227-7350753-2322047,04-23-22,Delivered,Amazon,Amazon.in,Expedited,ST847,ST847-SR-XL,Kurta,M,B8049349722,Delivered,2,INR,1805.46,Nagpur,Maharashtra,759176,IN,,False,Easy Ship
3,489-5663623-8606962,05-11-22,Shipped,Amazon,Amazon.in,Expedited,ST975,ST975-WD-S,Kurta,M,B9158966946,Shipped,1,INR,1072.07,Varanasi,Uttar Pradesh,270555,IN,,False,Easy Ship
4,376-4684531-6440561,08-04-22,Shipped,Merchant,Amazon.in,Standard,ST267,ST267-SR-L,Blouse,S,B1740742311,Shipped,1,INR,284.57,Varanasi,Uttar Pradesh,133659,IN,,False,Easy Ship
5,242-5137722-5408072,02-24-23,Delivered,Amazon,Amazon.in,Standard,ST569,ST569-WD-M,Ethnic Dress,XL,B8467503414,Delivered,1,INR,1797.16,Pune,Maharashtra,711878,IN,,False,Easy Ship
6,165-7455324-7402509,06-21-22,Shipped,Amazon,Amazon.in,Expedited,ST911,ST911-SR-XXL,Kurta,Free,B8672820592,Shipped,2,INR,903.68,Patna,Bihar,654816,IN,,False,Easy Ship
7,261-8612220-1054447,09-22-22,Returned,Amazon,Amazon.in,Expedited,ST214,ST214-TP-L,Blouse,M,B4377187530,Returned,2,INR,1166.6,Hyderabad,Telangana,287330,IN,,False,Easy Ship
8,431-9197443-1326765,06-22-22,Pending,Amazon,Amazon.in,Expedited,ST652,ST652-KR-XXL,Saree,S,B2458718453,,1,INR,1745.96,Meerut,Uttar Pradesh,422451,IN,,False,Easy Ship
9,775-8973915-3770370,12-29-22,Cancelled,Amazon,Amazon.in,Expedited,ST884,ST884-WD-S,Bottom,Free,B4380823176,,0,INR,0.0,Bengaluru,Karnataka,736059,IN,,False,Easy Ship
10,353-4769795-2074176,10-09-22,Delivered,Amazon,Amazon.in,Standard,ST548,ST548-SR-S,Set,S,B5312823170,Delivered,1,INR,1842.37,Varanasi,Uttar Pradesh,716886,IN,,False,Easy Ship
11,785-9143903-4594297,09-17-22,Shipped,Amazon,Amazon.in,Standard,ST172,ST172-WD-M,Blouse,L,B7927758595,Shipped,1,INR,651.71,Varanasi,Uttar Pradesh,698782,IN,,False,Easy Ship
12,769-2651177-2016911,10-28-22,Shipped,Amazon,Amazon.in,Expedited,ST578,ST578-KR-3XL,Kurta,L,B6155540424,Shipped,1,INR,653.3,Pune,Maharashtra,214576,IN,,False,Easy Ship
13,767-1247595-2564689,05-09-22,Shipped,Amazon,Amazon.in,Standard,ST553,ST553-KR-XS,Top,XS,B4032321899,Shipped,1,INR,373.86,Chennai,Tamil Nadu,526156,IN,,False,Easy Ship
14,848-9164991-3597059,11-19-22,Shipped,Amazon,Amazon.in,Expedited,ST392,ST392-SR-Free,Top,M,B3449823450,Shipped,3,INR,1153.92,Kolkata,West Bengal,328275,IN,,False,Easy Ship
15,182-4117625-2149597,12-28-22,Pending,Amazon,Amazon.in,Expedited,ST261,ST261-KR-XL,Kurta,XXL,B8619121552,,1,INR,1218.39,Delhi,Delhi,346629,IN,,False,Easy Ship
16,785-6271130-5004485,12-24-22,Shipped,Amazon,Amazon.in,Standard,ST423,ST423-TP-M,Ethnic Dress,M,B4363121477,Shipped,1,INR,1999.81,Delhi,Delhi,237235,IN,,False,Easy Ship
17,371-3222252-6855396,05-22-22,Cancelled,Merchant,Amazon.in,Expedited,ST175,ST175-WD-XL,Kurta,Free,B1842787299,,0,INR,0.0,Bengaluru,Karnataka,487477,IN,,False,Easy Ship
18,370-2936571-2795765,09-01-22,Returned,Amazon,Amazon.in,Expedited,ST779,ST779-KR-S,Ethnic Dress,M,B8030863865,Returned,1,INR,2560.05,Lucknow,Uttar Pradesh,385577,IN,,False,Easy Ship
19,145-1059486-6596150,04-27-22,Delivered,Merchant,Amazon.in,Expedited,ST194,ST194-SR-M,Blouse,Free,B2695511909,Delivered,1,INR,324.56,Pune,Maharashtra,374680,IN,,False,Easy Ship
20,696-3484601-8210624,03-20-23,Shipped,Amazon,Amazon.in,Standard,ST252,ST252-KR-M,Saree,M,B2615614174,Shipped,1,INR,3345.14,Indore,Madhya Pradesh,423232,IN,,False,Easy Ship
21,985-3726327-3970445,10-26-22,Shipped,Amazon,Amazon.in,Standard,ST735,ST735-WD-M,Set,3XL,B6213326769,Shipped,1,INR,1618.77,Rajkot,Gujarat,288073,IN,,False,Easy Ship
22,327-4348276-8722606,10-13-22,Delivered,Amazon,Amazon.in,Standard,ST993,ST993-KR-L,Set,M,B5450962024,Delivered,1,INR,1901.56,Amritsar,Punjab,338651,IN,,False,Easy Ship
23,218-5382463-3995870,03-14-23,Delivered,Merchant,Amazon.in,Standard,ST963,ST963-TP-XS,Kurta,Free,B8445630292,Delivered,1,INR,808.41,Jaipur,Rajasthan,140115,IN,,False,Easy Ship
24,825-8315831-1028374,01-21-23,Pending,Amazon,Amazon.in,Expedited,ST294,ST294-TP-XS,Top,M,B7682269803,,3,INR,839.85,Surat,Gujarat,306606,IN,,False,Easy Ship
25,512-5960271-3135534,09-06-22,Shipped,Amazon,Amazon.in,Expedited,ST782,ST782-SR-M,Western Dress,XXL,B3466431351,Shipped,2,INR,1759.04,Faridabad,Haryana,797229,IN,,False,Easy Ship
26,552-8418210-4585314,07-17-22,Returned,Amazon,Amazon.in,Expedited,ST540,ST540-TP-L,Top,3XL,B7573509974,Returned,2,INR,823.42,Lucknow,Uttar Pradesh,277934,IN,,False,Easy Ship
27,925-4340845-3472189,07-30-22,Delivered,Amazon,Amazon.in,Standard,ST788,ST788-TP-M,Ethnic Dress,L,B1316202700,Delivered,1,INR,2883.8,Meerut,Uttar Pradesh,356736,IN,,False,Easy Ship
28,804-1093026-2788238,10-22-22,Delivered,Merchant,Amazon.in,Standard,ST349,ST349-WD-3XL,Ethnic Dress,XL,B6439372360,Delivered,2,INR,3041.1,Meerut,Uttar Pradesh,284430,IN,,False,Easy Ship
29,727-9468772-8159521,12-28-22,Cancelled,Merchant,Amazon.in,Standard,ST672,ST672-TP-L,Kurta,M,B8069849511,,0,INR,0.0,Ahmedabad,Gujarat,266889,IN,,False,Easy Ship
30,179-5793722-4934149,02-15-23,Delivered,Amazon,Amazon.in,Standard,ST344,ST344-TP-L,Blouse,S,B4455076693,Delivered,2,INR,919.3,Ahmedabad,Gujarat,435239,IN,,False,Easy Ship
31,163-4470105-8048838,10-26-22,Shipped,Merchant,Amazon.in,Standard,ST438,ST438-SR-L,Top,XS,B5988393811,Shipped,2,INR,487.92,Ahmedabad,Gujarat,120480,IN,,False,Easy Ship
32,324-5579094-8312114,11-01-22,Cancelled,Merchant,Amazon.in,Expedited,ST651,ST651-WD-L,Set,S,B7213895645,,0,INR,0.0,Kanpur,Uttar Pradesh,507746,IN,,False,Easy Ship
33,758-8190929-3276659,01-29-23,Pending,Amazon,Amazon.in,Standard,ST677,ST677-KR-S,Kurta,L,B6934391257,,1,INR,1205.93,Bhopal,Madhya Pradesh,152727,IN,,False,Easy Ship
34,119-1873851-6871360,11-02-22,Cancelled,Amazon,Amazon.in,Standard,ST358,ST358-KR-L,Western Dress,M,B3897260863,,0,INR,0.0,Surat,Gujarat,171951,IN,,False,Easy Ship
35,816-5299055-7189034,03-09-23,Pending,Amazon,Amazon.in,Standard,ST217,ST217-WD-L,Kurta,M,B3191321540,,1,INR,425.22,Pune,Maharashtra,736745,IN,,False,Easy Ship
36,706-5074336-2709620,10-10-22,Shipped,Amazon,Amazon.in,Standard,ST506,ST506-WD-S,Ethnic Dress,XL,B9950477742,Shipped,3,INR,5942.73,Hyderabad,Telangana,729577,IN,,False,Easy Ship
37,208-8273315-7076506,04-07-22,Delivered,Amazon,Amazon.in,Expedited,ST969,ST969-SR-L,Blouse,XL,B9171705170,Delivered,1,INR,522.77,Indore,Madhya Pradesh,260422,IN,,False,Easy Ship
38,385-8563202-5091349,09-13-22,Cancelled,Amazon,Amazon.in,Standard,ST972,ST972-WD-S,Top,L,B6986483924,,0,INR,0.0,Patna,Bihar,739979,IN,,False,Easy Ship
39,110-9667566-4205394,09-22-22,Cancelled,Amazon,Amazon.in,Expedited,ST386,ST386-TP-XL,Kurta,L,B2042394260,,0,INR,0.0,Surat,Gujarat,526170,IN,,False,Easy Ship
40,349-6137284-7191135,08-29-22,Cancelled,Amazon,Amazon.in,Standard,ST326,ST326-SR-Free,Bottom,Free,B7084285882,,0,INR,0.0,Meerut,Uttar Pradesh,656711,IN,,False,Easy Ship
41,648-4106298-4213524,07-08-22,Delivered,Amazon,Amazon.in,Standard,ST423,ST423-KR-Free,Set,M,B3774988034,Delivered,1,INR,740.31,Bhopal,Madhya Pradesh,389930,IN,,False,Easy Ship
42,155-5901239-3118618,12-30-22,Delivered,Amazon,Amazon.in,Standard,ST229,ST229-TP-XS,Set,L,B9175884623,Delivered,1,INR,527.3,Lucknow,Uttar Pradesh,207570,IN,,False,Easy Ship
